epoch,step,train_loss,val_loss,val_mcc_best,val_thr_best
0,17,,0.679814338684082,0.37142857909202576,0.4960453510284424
0,17,0.6415473818778992,,,
1,35,,0.6351855993270874,0.5039526224136353,0.42947328090667725
1,35,0.5397143959999084,,,
2,53,,0.5149497389793396,0.6507936716079712,0.3703508973121643
2,53,0.4501413404941559,,,
3,71,,0.4940081536769867,0.7142857313156128,0.25868308544158936
3,71,0.40985947847366333,,,
4,89,,0.44130995869636536,0.7533708214759827,0.1693180948495865
4,89,0.34671273827552795,,,
5,107,,0.5036372542381287,0.6831300258636475,0.17861704528331757
5,107,0.329359233379364,,,
6,125,,0.5076103210449219,0.6415411829948425,0.04006531089544296
6,125,0.3180704712867737,,,
7,143,,0.41035500168800354,0.6232850551605225,0.48557859659194946
7,143,0.2751249372959137,,,
8,161,,0.5115414261817932,0.5911598801612854,0.8215917348861694
8,161,0.2505943775177002,,,
9,179,,0.4697686433792114,0.7481900453567505,0.39858269691467285
9,179,0.26962652802467346,,,
10,197,,0.5182081460952759,0.6525002121925354,0.2726447284221649
10,197,0.2307249903678894,,,
11,215,,0.4892843961715698,0.6831300258636475,0.11721748113632202
11,215,0.16936413943767548,,,
12,233,,0.6260735988616943,0.696517825126648,0.6436635255813599
12,233,0.17982159554958344,,,
13,251,,0.4836733341217041,0.7179793119430542,0.8179656863212585
13,251,0.16875430941581726,,,
14,269,,0.4989544153213501,0.6762274503707886,0.4428758919239044
14,269,0.17140811681747437,,,
15,287,,0.5085353255271912,0.6895933747291565,0.027964603155851364
15,287,0.1882619559764862,,,
16,305,,0.4694891571998596,0.6831300258636475,0.8082625865936279
16,305,0.15181171894073486,,,
17,323,,0.5208708047866821,0.688021183013916,0.824566125869751
17,323,0.12453945726156235,,,
18,341,,0.606839120388031,0.6578219532966614,0.14906270802021027
18,341,0.16070085763931274,,,
19,359,,0.5834266543388367,0.6546536684036255,0.9724940061569214
19,359,0.14576393365859985,,,
20,377,,0.5125948190689087,0.688021183013916,0.9379732608795166
20,377,0.13381600379943848,,,
21,395,,0.5537282228469849,0.7092993855476379,0.9103199243545532
21,395,0.13229484856128693,,,
22,413,,0.52452552318573,0.7208468317985535,0.08032769709825516
22,413,0.12051394581794739,,,
23,431,,0.4100743532180786,0.7135099172592163,0.3883724808692932
23,431,0.12598496675491333,,,
24,449,,0.5677450895309448,0.688021183013916,0.8434069156646729
24,449,0.12113102525472641,,,
