epoch,step,train_loss,val_loss,val_mcc_best,val_thr_best
0,17,,0.688674807548523,0.3003551661968231,0.4834979474544525
0,17,0.6452364325523376,,,
1,35,,0.6237437725067139,0.46874740719795227,0.3953341245651245
1,35,0.5143557190895081,,,
2,53,,0.5608639717102051,0.5121176838874817,0.27847421169281006
2,53,0.4259357452392578,,,
3,71,,0.591081976890564,0.5121176838874817,0.11850949376821518
3,71,0.38250383734703064,,,
4,89,,0.7053875923156738,0.4924321472644806,0.1707780957221985
4,89,0.3163204789161682,,,
5,107,,0.7280884981155396,0.5234793424606323,0.8526555895805359
5,107,0.2916826009750366,,,
6,125,,0.9543986320495605,0.5837520360946655,0.05682028830051422
6,125,0.2597276270389557,,,
7,143,,0.833572506904602,0.49563854932785034,0.9654473662376404
7,143,0.22277040779590607,,,
8,161,,0.7086528539657593,0.5837520360946655,0.15629291534423828
8,161,0.2303282618522644,,,
9,179,,0.9923025369644165,0.5196695327758789,0.06910553574562073
9,179,0.21810472011566162,,,
10,197,,1.0075905323028564,0.451091468334198,0.29661211371421814
10,197,0.2474917620420456,,,
11,215,,1.0966322422027588,0.4873773157596588,0.00416909996420145
11,215,0.17126300930976868,,,
12,233,,1.1024638414382935,0.42449212074279785,0.017711080610752106
12,233,0.16718322038650513,,,
13,251,,1.0781505107879639,0.4679398238658905,0.3601970076560974
13,251,0.12733478844165802,,,
14,269,,1.2898001670837402,0.5039904117584229,0.013922390528023243
14,269,0.12682408094406128,,,
15,287,,1.3162168264389038,0.5039904117584229,0.008957798592746258
15,287,0.1114625334739685,,,
16,305,,1.3943837881088257,0.43890517950057983,0.13381627202033997
16,305,0.14418141543865204,,,
17,323,,1.125744104385376,0.4924321472644806,0.06337056308984756
17,323,0.15413768589496613,,,
18,341,,1.213610291481018,0.5114108920097351,0.22944089770317078
18,341,0.1576518416404724,,,
19,359,,1.3070462942123413,0.5114108920097351,0.05996296554803848
19,359,0.09194289147853851,,,
20,377,,1.5064185857772827,0.4766255021095276,0.0961112454533577
20,377,0.09509773552417755,,,
21,395,,1.5126264095306396,0.5039904117584229,0.003554685739800334
21,395,0.10201804339885712,,,
22,413,,1.414867877960205,0.451091468334198,0.008643090724945068
22,413,0.10338782519102097,,,
23,431,,1.3352805376052856,0.4512752890586853,0.9844051003456116
23,431,0.09902512282133102,,,
24,449,,1.5919897556304932,0.4197552800178528,0.03346460685133934
24,449,0.09819022566080093,,,
25,467,,1.3824020624160767,0.4924321472644806,0.02597655914723873
25,467,0.11516460031270981,,,
26,485,,1.430031657218933,0.4924321472644806,0.028644712641835213
26,485,0.09755285084247589,,,
